직원ID,이름,성별,직무,직급,입사연도,근속년수,학력,교육이수_건수,역량_사업관리,역량_고객관리,역량_품질생산관리,역량_AI/SW,역량_해외영업,역량_시험평가,역량_제어,역량_HR_AX,역량_열관리개발,역량_재무회계,역량_성능HW,역량평균,역량총점
E0016,송지훈,남,사업전략수립,사원,2026,0,학사,3,0.0,0.4,0.0,0.3,5.0,0.0,0.2,0.0,0.6,0.2,0.5,0.65,7.2
E0017,권현우,여,사업전략수립,사원,2026,0,학사,2,0.0,0.1,0.0,0.1,5.6,0.0,0.0,0.0,0.0,0.0,0.8,0.6,6.6
E0018,강예린,여,사업전략수립,사원,2026,0,학사,2,0.2,0.0,0.0,0.0,5.6,0.0,0.8,0.4,0.2,0.0,0.2,0.67,7.4
E0019,권지우,남,사업전략수립,사원,2022,4,석사,4,0.2,0.0,0.9,0.1,6.0,0.3,0.1,0.3,0.0,0.4,0.7,0.82,9.0
E0020,송지훈,남,사업전략수립,대리,2022,4,박사,2,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.6,0.0,0.8,0.69,7.6
E0021,송은서,여,사업전략수립,사원,2023,3,학사,6,0.2,0.1,0.0,0.0,7.5,0.0,0.1,0.0,1.0,0.5,0.0,0.85,9.4
E0022,류성민,여,사업수익성관리,과장,2018,8,석사,7,0.6,0.0,0.2,0.0,1.0,9.0,0.3,0.2,0.3,0.2,0.0,1.07,11.8
E0023,황윤서,여,사업수익성관리,사원,2026,0,학사,4,0.0,0.3,0.6,0.0,0.0,7.1,1.0,0.0,0.0,0.0,0.0,0.82,9.0
E0024,정선우,남,사업수익성관리,차장,2012,14,학사,10,0.0,0.1,0.5,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,1.12,12.3
E0025,전수아,남,사업수익성관리,차장,2010,16,석사,7,0.3,0.3,0.6,0.8,0.0,10.1,0.4,0.9,0.0,0.0,0.0,1.22,13.4
E0026,안하은,남,사업수익성관리,사원,2026,0,학사,1,0.3,0.0,0.3,0.0,0.0,5.4,0.0,0.0,0.3,0.0,0.0,0.57,6.3
E0027,박선우,남,사업수익성관리,사원,2021,5,학사,4,0.3,0.3,0.0,0.0,0.9,7.7,0.0,0.0,0.1,0.4,0.7,0.95,10.4
E0028,임지훈,남,사업수익성관리,사원,2025,1,석사,4,0.0,0.0,0.7,0.7,0.6,6.7,0.6,0.0,0.1,0.0,0.7,0.92,10.1
E0029,송예준,남,사업수익성관리,대리,2023,3,학사,5,0.0,0.0,0.0,0.1,0.2,7.4,0.5,0.5,0.0,0.9,0.1,0.88,9.7
E0030,신예린,남,사업수익성관리,사원,2025,1,학사,0,0.0,0.1,0.1,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.54,5.9
E0031,류민준,여,사업수익성관리,대리,2017,9,석사,5,0.0,0.4,0.9,0.0,0.4,7.3,0.1,0.0,0.6,0.7,0.0,0.95,10.4
E0032,정민준,여,사업수익성관리,부장,2005,21,학사,7,1.1,0.4,0.0,0.0,0.0,12.4,0.5,0.3,0.0,0.0,0.0,1.34,14.7
E0033,한지우,남,사업수익성관리,대리,2021,5,학사,5,0.0,0.0,0.2,0.2,0.7,7.4,0.4,0.5,0.6,0.2,0.6,0.98,10.8
E0034,황성민,여,사업수익성관리,사원,2025,1,석사,4,0.2,0.0,0.5,0.4,0.9,6.2,0.4,0.2,0.5,0.1,0.0,0.85,9.4
E0035,송윤서,여,손익·원가관리,사원,2026,0,석사,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,4.9,0.1,0.53,5.8
E0036,홍다은,남,손익·원가관리,차장,2011,15,석사,8,0.7,0.8,1.1,0.1,0.3,0.0,0.2,0.0,0.3,10.3,0.2,1.27,14.0
E0037,류건우,남,손익·원가관리,과장,2016,10,학사,6,0.0,0.4,0.5,0.6,0.0,0.2,0.0,0.5,0.4,9.3,0.3,1.11,12.2
E0038,신건우,남,손익·원가관리,차장,2011,15,학사,13,0.6,0.5,0.0,0.0,0.4,0.4,0.0,0.1,0.5,13.0,0.3,1.44,15.8
E0039,정서윤,여,손익·원가관리,부장,2002,24,학사,8,0.0,1.2,0.2,0.4,0.5,0.5,0.8,0.8,1.2,9.8,1.8,1.56,17.2
E0040,조유준,남,손익·원가관리,차장,2011,15,학사,7,0.0,0.0,0.0,0.0,1.1,0.0,0.5,0.5,0.0,11.3,0.0,1.22,13.4
E0041,황도윤,남,손익·원가관리,대리,2026,0,학사,1,0.1,0.0,0.3,0.1,0.5,0.6,0.0,0.0,0.0,5.3,0.0,0.63,6.9
E0042,전준서,여,손익·원가관리,과장,2017,9,학사,2,0.4,0.0,0.3,0.0,0.0,0.0,0.2,0.3,0.0,9.0,0.4,0.96,10.6
E0043,이예준,남,손익·원가관리,차장,2007,19,학사,6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.7,11.2,0.2,1.19,13.1
E0044,안지아,남,손익·원가관리,대리,2018,8,석사,7,0.0,0.0,0.0,0.0,0.9,0.6,0.0,0.1,0.0,8.9,0.8,1.03,11.3
E0045,홍서연,여,손익·원가관리,대리,2016,10,학사,8,0.0,0.0,0.8,0.0,0.1,0.0,0.5,0.8,0.3,9.0,0.3,1.07,11.8
E0046,안채원,여,매출·경영관리,대리,2019,7,박사,5,0.2,0.2,1.7,0.0,0.2,4.2,0.5,0.0,0.3,2.2,0.0,0.86,9.5
E0047,송선우,남,매출·경영관리,사원,2022,4,학사,1,0.2,0.3,1.1,0.0,0.2,3.9,0.2,0.0,0.0,2.8,0.1,0.8,8.8
E0048,윤수빈,남,매출·경영관리,과장,2013,13,석사,5,0.9,0.0,0.2,0.0,0.5,7.8,0.4,0.0,0.3,2.8,0.0,1.17,12.9
E0049,오하윤,남,매출·경영관리,사원,2023,3,학사,6,0.3,0.0,0.7,0.0,1.0,4.5,0.0,0.0,0.0,2.1,1.1,0.88,9.7
E0050,장선우,여,매출·경영관리,대리,2020,6,학사,4,0.4,0.8,0.3,0.0,0.0,4.4,0.0,0.1,0.0,2.9,0.0,0.81,8.9
E0051,정지아,남,매출·경영관리,대리,2017,9,학사,3,0.0,1.2,0.2,0.4,0.0,4.7,0.2,0.4,0.0,1.8,0.0,0.81,8.9
E0052,홍유준,남,매출·경영관리,사원,2026,0,학사,3,0.6,0.3,0.0,0.4,0.0,4.4,0.1,0.0,0.0,1.4,0.0,0.65,7.2
E0053,박우진,여,매출·경영관리,사원,2026,0,석사,3,0.0,0.0,0.1,0.0,0.5,3.7,0.0,0.0,0.0,2.6,0.0,0.63,6.9
E0054,윤하윤,남,매출·경영관리,과장,2012,14,학사,7,0.0,0.7,0.7,0.7,0.0,5.6,0.0,0.0,0.0,2.5,0.0,0.93,10.2
E0055,안재현,여,매출·경영관리,사원,2022,4,학사,3,0.6,0.0,0.0,0.0,0.0,5.1,0.0,0.1,0.5,1.8,0.2,0.75,8.3
E0056,강유준,남,매출·경영관리,사원,2024,2,석사,1,0.2,0.1,0.1,0.6,0.1,3.5,0.5,0.5,0.0,1.6,0.6,0.71,7.8
E0057,강예준,여,연결·내부회계공시,사원,2024,2,석사,2,5.7,0.1,0.5,0.0,0.6,0.2,0.4,0.0,0.2,0.1,0.0,0.71,7.8
E0058,권은서,남,연결·내부회계공시,과장,2012,14,석사,8,9.3,0.3,0.6,1.5,0.0,0.5,0.7,0.5,0.0,0.6,0.0,1.27,14.0
E0059,정준서,여,연결·내부회계공시,사원,2026,0,학사,3,5.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.3,1.0,0.72,7.9
E0060,조지호,여,연결·내부회계공시,사원,2023,3,박사,5,5.6,0.3,0.3,0.0,0.4,0.5,0.2,0.8,0.5,0.0,0.0,0.78,8.6
E0061,장예린,여,연결·내부회계공시,대리,2020,6,학사,6,8.1,0.1,0.0,0.9,0.0,0.0,0.3,0.0,0.5,0.3,0.7,0.99,10.9
E0062,황다은,여,연결·내부회계공시,대리,2023,3,학사,2,6.2,0.0,0.0,0.7,0.5,0.1,0.0,0.1,0.0,0.6,0.3,0.77,8.5
E0063,장지호,남,연결·내부회계공시,대리,2026,0,석사,3,6.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.65,7.2
E0064,신지아,남,연결·내부회계공시,과장,2016,10,석사,8,8.2,1.9,0.6,0.2,0.4,0.8,0.0,0.0,0.7,0.2,0.1,1.19,13.1
E0065,이지호,남,연결·내부회계공시,과장,2016,10,석사,4,7.9,0.4,0.2,0.0,0.3,0.1,0.6,0.4,0.1,0.6,0.4,1.0,11.0
E0066,박우진,남,연결·내부회계공시,차장,2010,16,학사,9,10.5,0.0,0.0,0.3,0.0,0.7,0.3,0.0,0.0,0.4,0.8,1.18,13.0
E0067,이하은,남,연결·내부회계공시,사원,2022,4,박사,5,7.0,0.0,0.0,0.0,0.0,0.9,0.3,0.0,0.3,0.0,0.5,0.82,9.0
E0068,정지유,남,안전·환경관리,차장,2009,17,석사,8,0.0,0.3,0.1,0.0,10.3,0.4,0.2,0.2,1.1,0.0,0.0,1.15,12.6
E0069,이현우,남,안전·환경관리,대리,2021,5,학사,3,0.0,0.0,0.2,0.2,7.1,0.4,0.1,0.2,0.1,0.0,0.3,0.78,8.6
E0070,김예준,남,안전·환경관리,부장,2004,22,학사,7,0.0,0.0,0.1,1.0,11.5,0.0,0.3,0.0,0.6,0.0,0.5,1.27,14.0
E0071,홍은서,남,안전·환경관리,사원,2022,4,학사,2,0.3,0.2,0.1,0.0,6.2,0.0,1.0,1.2,0.2,0.2,0.0,0.85,9.4
E0072,권성민,여,안전·환경관리,대리,2022,4,석사,2,0.0,0.0,0.0,0.4,6.4,0.0,0.0,0.0,0.0,0.0,0.2,0.64,7.0
E0073,오민준,여,안전·환경관리,사원,2026,0,석사,3,0.0,0.6,0.6,0.0,5.0,0.3,0.0,0.3,0.6,0.0,0.0,0.67,7.4
E0074,안서연,남,안전·환경관리,사원,2023,3,학사,2,0.0,0.2,0.4,0.1,6.7,0.0,0.2,0.0,0.0,0.1,0.8,0.77,8.5
E0075,류은서,여,안전·환경관리,과장,2012,14,학사,6,0.0,0.0,0.6,0.8,9.2,0.5,1.2,0.0,0.2,0.0,0.2,1.15,12.7
E0076,서서연,여,언론홍보,대리,2021,5,학사,2,0.0,6.7,0.0,0.0,1.3,0.2,0.3,0.0,0.0,0.0,0.1,0.78,8.6
E0077,조지아,남,언론홍보,사원,2024,2,학사,3,0.7,6.0,0.3,0.3,0.4,0.5,0.7,0.0,0.0,0.0,0.0,0.81,8.9
E0078,권지호,남,언론홍보,과장,2019,7,학사,4,0.5,7.2,0.0,0.5,0.0,0.0,0.4,0.2,0.3,0.0,0.0,0.83,9.1
E0079,오현우,여,언론홍보,사원,2021,5,석사,4,0.0,6.0,1.2,0.0,0.3,0.4,0.1,0.0,0.0,1.3,0.0,0.85,9.3
E0080,조하윤,여,언론홍보,대리,2017,9,학사,6,0.0,8.1,0.0,0.2,0.0,0.3,0.7,0.0,0.8,0.0,0.5,0.96,10.6
E0081,윤은서,남,언론홍보,사원,2022,4,학사,5,0.0,6.4,0.1,0.0,0.0,0.0,1.6,0.3,0.4,0.8,0.6,0.93,10.2
E0082,장유준,남,언론홍보,과장,2020,6,학사,3,0.6,7.0,0.0,0.7,1.0,0.6,0.5,0.0,0.0,0.8,0.0,1.02,11.2
E0083,이민재,여,언론홍보,사원,2024,2,학사,1,0.0,5.5,0.5,0.0,0.0,0.3,0.0,0.6,0.0,0.0,0.0,0.63,6.9
E0084,박건우,여,언론홍보,대리,2022,4,학사,6,0.0,7.3,0.0,0.0,0.0,0.6,0.3,0.6,0.5,1.4,0.0,0.97,10.7
E0085,홍윤서,남,언론홍보,대리,2015,11,학사,8,0.8,8.8,0.0,0.2,0.2,0.0,0.1,0.9,0.3,0.0,0.0,1.03,11.3
E0086,윤예준,남,언론홍보,사원,2026,0,학사,1,0.0,5.2,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.3,0.0,0.54,5.9
E0087,류채원,남,언론홍보,부장,2005,21,석사,6,0.8,12.2,0.2,0.1,0.4,0.2,0.5,0.9,0.6,0.2,0.4,1.5,16.5
E0088,장서윤,여,HRD_AX교육,사원,2020,6,학사,0,0.0,0.6,0.2,0.0,0.0,0.7,0.0,5.1,0.8,0.3,0.0,0.7,7.7
E0089,오채원,남,HRD_AX교육,대리,2017,9,학사,7,1.3,0.0,0.2,0.0,0.0,0.3,0.0,9.0,0.0,0.0,0.3,1.01,11.1
E0090,장지아,여,HRD_AX교육,차장,2005,21,석사,9,0.5,0.2,0.2,0.4,0.1,0.6,0.6,12.9,0.2,0.9,0.2,1.53,16.8
E0091,한지유,여,HRD_AX교육,과장,2019,7,학사,3,0.0,0.3,0.0,0.0,0.0,0.2,0.0,8.5,0.0,0.7,0.0,0.88,9.7
E0092,송성민,남,HRD_AX교육,과장,2011,15,학사,11,0.7,0.0,0.6,1.5,0.0,0.0,1.0,11.0,0.5,0.3,0.1,1.43,15.7
E0093,송예준,남,HRD_AX교육,대리,2020,6,석사,4,0.6,0.6,0.2,0.0,0.2,0.5,0.0,8.3,0.0,0.0,0.1,0.95,10.5
E0094,장지아,여,HRD_AX교육,대리,2021,5,학사,6,0.0,0.6,0.0,0.0,0.3,0.5,0.0,7.7,0.5,0.0,0.1,0.88,9.7
E0095,오수빈,남,HRD_AX교육,사원,2026,0,학사,2,1.2,0.0,0.0,0.0,0.0,0.4,1.0,5.5,0.0,0.3,0.0,0.76,8.4
E0096,오지호,남,HRD_AX교육,사원,2021,5,석사,1,0.3,0.0,0.0,0.0,0.4,0.0,0.0,5.0,0.7,0.8,0.3,0.68,7.5
E0097,류지훈,여,HRD_AX교육,차장,2008,18,학사,6,0.0,0.0,0.5,0.8,0.2,0.0,0.2,10.6,0.0,1.4,0.3,1.27,14.0
E0098,임수아,여,HRM_채용인사관리,대리,2022,4,학사,1,0.3,0.3,0.3,0.0,0.1,0.3,0.0,4.9,1.6,0.7,0.8,0.85,9.3
E0099,권서윤,여,HRM_채용인사관리,대리,2014,12,학사,7,1.6,0.6,0.6,0.0,0.6,0.0,0.1,6.1,2.2,0.0,0.3,1.1,12.1
E0100,전수아,남,HRM_채용인사관리,대리,2012,14,학사,6,0.0,1.1,0.2,0.6,0.0,0.0,0.0,6.6,2.1,0.0,0.3,0.99,10.9
E0101,강선우,남,HRM_채용인사관리,사원,2022,4,학사,3,0.2,0.8,1.1,0.7,0.0,0.4,0.0,4.6,1.0,0.0,0.2,0.82,9.0
E0102,신성민,남,HRM_채용인사관리,사원,2022,4,학사,3,0.0,0.0,0.0,0.1,0.7,0.2,0.3,6.0,1.1,0.3,0.0,0.79,8.7
E0103,임예린,남,HRM_채용인사관리,과장,2020,6,학사,4,0.0,0.0,0.0,1.1,0.1,0.0,0.0,5.8,2.9,0.0,0.6,0.95,10.5
E0104,박수아,남,HRM_채용인사관리,과장,2014,12,학사,5,1.0,0.3,0.8,0.0,0.0,0.0,0.0,8.1,2.1,0.3,1.0,1.24,13.6
E0105,강도윤,남,HRM_채용인사관리,과장,2016,10,석사,9,0.2,0.5,0.2,1.1,0.0,0.7,0.5,6.9,2.6,0.2,0.0,1.17,12.9
E0106,권하윤,남,HRM_채용인사관리,사원,2025,1,학사,2,0.5,0.1,1.0,0.6,0.0,0.0,0.1,4.4,2.3,0.0,0.4,0.85,9.4
E0107,신예준,남,AX보안설계,과장,2013,13,석사,0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,8.3,0.0,0.0,0.1,0.81,8.9
E0108,서지우,남,AX보안설계,과장,2012,14,학사,8,0.5,0.7,0.3,1.1,0.3,0.0,0.0,10.8,0.0,0.1,0.1,1.26,13.9
E0109,류수아,여,AX보안설계,대리,2019,7,학사,6,0.1,0.0,0.2,0.3,0.5,0.7,0.1,8.1,0.0,0.2,0.9,1.01,11.1
E0110,이민준,남,AX보안설계,대리,2022,4,학사,1,0.7,0.3,0.0,0.1,0.0,0.0,0.0,5.6,0.4,0.3,0.4,0.71,7.8
E0111,박건우,남,AX보안설계,차장,2007,19,박사,5,0.1,0.0,0.0,0.4,0.0,0.0,0.4,11.8,0.0,0.5,0.0,1.2,13.2
E0112,오예준,남,AX보안설계,사원,2023,3,학사,1,0.9,0.4,0.6,0.0,0.0,0.0,0.1,5.7,0.0,0.0,0.2,0.72,7.9
E0113,정선우,남,AX보안설계,사원,2025,1,학사,4,0.1,0.5,0.0,0.0,0.4,0.0,0.1,5.9,1.2,0.1,0.0,0.75,8.3
E0114,이정우,남,AX보안설계,차장,2012,14,학사,8,0.0,0.4,0.0,0.4,0.0,0.0,0.0,11.9,0.3,0.2,0.3,1.23,13.5
E0115,김유준,남,AX보안설계,차장,2008,18,학사,8,0.0,1.5,0.3,0.0,0.0,0.6,1.3,11.2,0.1,0.2,0.0,1.38,15.2
E0116,권선우,남,AX보안설계,과장,2016,10,학사,4,0.2,0.0,0.0,0.2,0.8,0.2,0.0,7.0,0.0,0.0,0.1,0.77,8.5
E0117,조정우,남,AX보안설계,사원,2024,2,학사,1,0.0,0.0,0.3,0.0,0.0,0.0,0.1,5.9,0.8,0.0,0.0,0.65,7.1
E0118,한다은,남,구매원가분석,사원,2024,2,석사,3,5.9,0.3,0.0,0.4,0.0,0.0,0.3,0.7,0.2,0.0,0.0,0.71,7.8
E0119,서서윤,여,구매원가분석,대리,2020,6,석사,5,7.9,0.0,0.1,0.0,0.2,0.0,0.6,0.0,1.3,0.8,0.0,0.99,10.9
E0120,홍민준,남,구매원가분석,대리,2021,5,학사,2,7.0,0.1,0.0,0.0,0.0,0.2,0.8,0.6,0.0,0.6,0.4,0.88,9.7
E0121,조소율,여,구매원가분석,대리,2021,5,학사,7,7.3,1.1,0.0,0.9,0.4,0.4,0.3,0.0,1.0,0.3,0.0,1.06,11.7
E0122,임소율,남,구매원가분석,대리,2016,10,석사,4,7.5,0.4,0.0,0.0,0.6,0.2,0.0,0.0,0.5,0.6,0.0,0.89,9.8
E0123,최하윤,여,구매원가분석,대리,2019,7,학사,8,8.8,0.9,0.0,0.0,0.2,0.2,0.2,0.3,0.1,0.0,0.0,0.97,10.7
E0124,한예준,남,구매원가분석,사원,2020,6,학사,3,6.9,0.2,0.0,0.3,1.3,0.0,0.0,0.1,0.8,0.0,0.1,0.88,9.7
E0125,이지훈,남,구매원가분석,대리,2021,5,석사,2,7.0,0.0,0.6,0.4,1.0,0.0,0.6,0.0,0.3,0.0,0.6,0.95,10.5
E0126,김현우,남,구매원가분석,대리,2020,6,학사,1,6.8,0.0,0.8,0.0,0.0,0.5,0.3,0.3,0.5,0.3,0.0,0.86,9.5
E0127,류하윤,여,구매원가분석,대리,2023,3,학사,8,6.0,0.0,0.5,0.7,0.0,0.1,0.0,0.4,0.5,0.0,0.3,0.77,8.5
E0128,강지유,여,열관리시스템구매,사원,2023,3,학사,1,0.0,0.1,0.0,0.2,6.5,0.6,0.8,0.0,0.0,0.0,0.5,0.79,8.7
E0129,강성민,여,열관리시스템구매,차장,2011,15,학사,6,0.2,0.2,0.1,0.5,11.2,0.4,0.4,0.0,0.6,0.1,0.8,1.32,14.5
E0130,최유준,여,열관리시스템구매,대리,2019,7,학사,4,0.0,0.5,0.0,0.2,7.5,0.3,0.0,0.0,0.0,0.0,0.7,0.84,9.2
E0131,황수아,남,열관리시스템구매,사원,2025,1,학사,2,0.0,0.2,0.0,0.0,5.8,0.0,0.0,0.6,1.2,0.0,0.0,0.71,7.8
E0132,정지아,남,열관리시스템구매,사원,2020,6,학사,5,0.0,0.2,0.1,0.0,7.0,0.1,0.0,0.3,0.0,0.5,0.0,0.75,8.2
E0133,홍하은,남,열관리시스템구매,차장,2009,17,석사,9,0.0,0.6,0.8,0.0,10.8,0.5,1.1,0.9,0.0,0.7,0.0,1.4,15.4
E0134,류우진,남,열관리시스템구매,대리,2021,5,석사,3,0.1,0.0,0.0,0.0,6.4,0.1,0.1,0.0,0.1,0.0,1.1,0.72,7.9
E0135,홍서연,남,열관리시스템구매,사원,2021,5,학사,3,0.7,0.0,0.1,0.3,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.83,9.1
E0136,서현우,남,열관리시스템구매,과장,2019,7,석사,3,0.0,0.3,0.0,0.9,8.4,0.0,0.0,0.0,0.0,0.3,0.1,0.91,10.0
E0137,최하윤,남,열관리시스템구매,부장,2002,24,학사,15,0.5,0.2,1.0,0.0,13.2,0.5,0.0,0.2,0.9,0.2,0.0,1.52,16.7
E0138,윤예린,여,열관리시스템구매,차장,2006,20,학사,11,0.7,0.5,0.0,0.1,12.2,0.4,0.0,0.3,0.2,0.4,0.4,1.38,15.2
E0139,홍수빈,남,전동식컴프레셔구매,차장,2012,14,학사,9,0.0,0.2,0.0,0.0,10.5,0.5,0.1,0.0,0.0,0.7,0.7,1.15,12.7
E0140,박은서,여,전동식컴프레셔구매,과장,2015,11,석사,3,0.0,0.2,0.2,0.3,9.0,0.3,0.0,0.1,0.4,0.0,0.2,0.97,10.7
E0141,홍현우,남,전동식컴프레셔구매,대리,2019,7,석사,2,0.0,0.0,0.9,0.0,6.2,0.0,0.0,0.3,0.9,0.5,0.0,0.8,8.8
E0142,류지우,남,전동식컴프레셔구매,대리,2019,7,석사,5,0.0,0.3,0.5,0.4,7.2,0.2,0.0,0.3,0.0,0.1,0.8,0.89,9.8
E0143,황소율,남,전동식컴프레셔구매,사원,2021,5,학사,4,0.0,1.4,0.1,0.0,8.3,0.0,0.0,0.8,0.0,0.0,0.0,0.96,10.6
E0144,송민준,남,전동식컴프레셔구매,사원,2023,3,학사,3,0.0,0.5,0.2,0.9,5.7,0.0,0.2,0.0,0.0,0.2,0.1,0.71,7.8
E0145,정도윤,남,전동식컴프레셔구매,차장,2011,15,석사,8,0.2,0.9,0.6,0.4,11.4,0.4,0.4,0.0,0.5,0.1,0.7,1.42,15.6
E0146,송지호,여,전동식컴프레셔구매,사원,2024,2,학사,6,0.2,0.1,0.6,0.5,6.0,0.0,0.7,0.0,0.0,0.6,0.0,0.79,8.7
E0147,권선우,남,전동식컴프레셔구매,대리,2019,7,학사,5,0.0,0.2,0.5,0.0,6.5,0.1,0.2,1.3,0.7,0.0,0.8,0.94,10.3
E0148,오지호,남,전동식컴프레셔구매,대리,2021,5,학사,5,0.0,0.7,0.0,0.0,8.2,0.0,0.3,0.0,0.5,0.1,0.8,0.96,10.6
E0149,조민준,남,전동식컴프레셔구매,사원,2026,0,학사,2,0.0,0.1,0.0,0.0,5.6,0.0,0.4,0.2,0.2,0.0,0.7,0.65,7.2
E0150,오건우,남,제어시스템선행품질,차장,2006,20,학사,7,0.0,0.9,10.1,0.0,0.8,0.2,2.1,0.0,0.0,0.0,0.9,1.36,15.0
E0151,오하윤,남,제어시스템선행품질,차장,2009,17,학사,12,0.0,0.1,10.4,0.3,1.1,0.0,1.8,0.0,0.2,0.6,0.5,1.36,15.0
E0152,박지호,여,제어시스템선행품질,사원,2025,1,학사,1,0.0,0.5,4.7,0.1,0.6,0.5,1.3,0.0,0.0,0.0,0.3,0.73,8.0
E0153,조지우,남,제어시스템선행품질,과장,2018,8,학사,4,0.0,0.0,7.9,0.0,0.0,0.0,1.5,0.0,0.2,0.0,0.6,0.93,10.2
E0154,윤채원,여,제어시스템선행품질,사원,2026,0,석사,0,1.0,0.0,3.9,0.0,0.1,0.2,1.0,0.4,0.0,0.4,0.2,0.65,7.2
E0155,권민재,여,제어시스템선행품질,차장,2010,16,학사,4,0.2,0.6,8.7,0.2,0.1,0.0,1.5,0.7,0.0,0.2,0.0,1.11,12.2
E0156,권성민,남,제어시스템선행품질,부장,2005,21,학사,14,0.0,0.0,11.4,0.0,0.6,0.4,3.6,0.4,0.6,0.0,0.6,1.6,17.6
E0157,조민준,남,제어시스템선행품질,과장,2014,12,학사,0,0.0,0.1,5.8,0.3,0.4,0.1,0.8,0.0,0.2,0.0,0.0,0.7,7.7
E0158,장정우,남,부품가공라인품질관리,차장,2009,17,학사,8,0.2,0.0,12.3,0.1,0.2,0.9,0.2,0.0,0.0,0.0,1.3,1.38,15.2
E0159,송건우,남,부품가공라인품질관리,대리,2018,8,학사,6,0.1,0.5,9.9,0.3,0.0,0.0,0.2,0.5,0.1,0.0,0.5,1.1,12.1
E0160,신수아,남,부품가공라인품질관리,사원,2025,1,학사,3,0.3,0.3,5.3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.59,6.5
E0161,황지호,여,부품가공라인품질관리,차장,2010,16,학사,9,0.7,0.0,12.5,0.4,0.5,0.3,0.8,0.2,0.0,0.3,0.7,1.49,16.4
E0162,임선우,남,부품가공라인품질관리,사원,2023,3,박사,1,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.5,0.1,0.1,0.0,0.57,6.3
E0163,임서윤,남,부품가공라인품질관리,대리,2019,7,학사,5,0.5,0.0,7.8,0.7,0.4,0.4,0.6,0.1,0.0,0.0,0.0,0.95,10.5
